Бренд	Цена	Старая цена	Цвет	Тип	Сезон	Коллекция	Материал верха основной	Материал подкладки основной	Материал подкладки дополнительный	Материал стельки	Материал подошвы	Перфорация	Тип застежки	Высота каблука (мм)	Высота верха обуви (мм)	Полнота	Пол
BRIGGS	8399	13999	Черный	Кеды высокие	Зима	Осень-Зима 2024-2025	Искусственная кожа	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Шнурки	35	115	6	Муж.
Thomas Munz	3199	7999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ТЭП	Нет	Молния/Шнурки	25	78	6	Муж.
Thomas Munz	3599	8999	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Нет	Шнурки	28	75	6	Муж.
Thomas Munz	6999	9999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	30	85	6	Муж.
SALAMANDER	8490	16990	Черный	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Натуральная кожа	Ворсин	Unknown	Ворсин	Резина	Нет	Молния/Шнурки	40	105	6	Муж.
SALAMANDER	7190	17990	Хаки	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Нубук	Ворсин	Unknown	Ворсин	Резина	Нет	Шнурки	33	105	6	Муж.
Thomas Munz	10799	17999	Черный	Кеды высокие	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Молния/Резинка	30	120	6	Муж.
BRIGGS	8399	13999	Черный	Кроссовки высокие	Зима	Осень-Зима 2024-2025	Текстиль	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Шнурки	50	100	6	Муж.
BRIGGS	8999	14999	Белый	Кеды высокие	Зима	Осень-Зима 2024-2025	Кожа из спилка	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Декоративная	Шнурки	35	115	6	Муж.
BRIGGS	8399	13999	Черный	Кроссовки высокие	Зима	Осень-Зима 2024-2025	Текстиль	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Шнурки	50	100	6	Муж.
BRIGGS	8999	14999	Коричневый	Кеды высокие	Зима	Осень-Зима 2024-2025	Кожа из спилка	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Декоративная	Шнурки	35	115	6	Муж.
Thomas Munz	6499	15999	Серый	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	ТЭП	Нет	Молния/Шнурки	30	120	6	Муж.
